epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2817,1.20921,1.90963,1.25983,0.19259,0.50554,0.14659,0.06892,1.4817,6.90828,1.70591,0.00056,0.00056,0.00056
2,19.9738,1.05167,0.94529,1.18843,0.08904,0.15867,0.03968,0.01082,2.82916,6.23253,3.8949,0.00113774,0.00113774,0.00113774
3,29.4891,1.01504,0.88553,1.16854,0.01675,0.29151,0.01177,0.0048,2.17963,14.7708,2.62791,0.00171319,0.00171319,0.00171319
4,41.1734,1.06037,0.90708,1.18706,0.35823,0.53137,0.36916,0.21231,1.67824,5.21735,2.14215,0.00198812,0.00198812,0.00198812
5,57.7979,1.01601,0.88136,1.17597,0.43195,0.34317,0.319,0.1628,2.13766,6.44439,2.62478,0.00198416,0.00198416,0.00198416
6,74.5365,1.00712,0.82024,1.17218,0.41685,0.56976,0.42443,0.2472,1.47419,4.19369,1.74587,0.0019802,0.0019802,0.0019802
7,91.0615,0.93015,0.73524,1.12124,0.6778,0.63469,0.66965,0.40111,1.37496,2.84783,1.68369,0.00197624,0.00197624,0.00197624
8,107.939,0.9165,0.71401,1.10979,0.82192,0.79336,0.85775,0.52189,1.38025,0.94124,1.68213,0.00197228,0.00197228,0.00197228
9,120.065,0.92199,0.7082,1.10981,0.65785,0.74539,0.76055,0.4608,1.34382,1.43309,1.56787,0.00196832,0.00196832,0.00196832
10,132.225,0.9219,0.69285,1.11024,0.72513,0.7417,0.80256,0.52053,1.27862,1.28474,1.48566,0.00196436,0.00196436,0.00196436
11,148.858,0.87985,0.66101,1.09376,0.85968,0.83395,0.89417,0.57875,1.18586,0.94794,1.43335,0.0019604,0.0019604,0.0019604
12,162.827,0.86957,0.65138,1.08276,0.84453,0.8419,0.90611,0.60786,1.18339,0.85247,1.43177,0.00195644,0.00195644,0.00195644
13,179.665,0.86495,0.6602,1.08478,0.80329,0.78357,0.84726,0.58787,1.18723,0.96404,1.44166,0.00195248,0.00195248,0.00195248
14,193.583,0.83393,0.5991,1.05871,0.86342,0.80443,0.92168,0.62421,1.09106,0.97095,1.383,0.00194852,0.00194852,0.00194852
15,203.221,0.85033,0.62241,1.08783,0.84871,0.8524,0.92354,0.6435,1.08858,0.77963,1.35586,0.00194456,0.00194456,0.00194456
16,215.057,0.80817,0.58237,1.05795,0.83607,0.77161,0.84078,0.56677,1.21854,0.87324,1.4615,0.0019406,0.0019406,0.0019406
17,231.289,0.80789,0.5911,1.04868,0.89609,0.86716,0.94098,0.67231,1.02216,0.74015,1.31127,0.00193664,0.00193664,0.00193664
18,241.135,0.81516,0.58862,1.05876,0.91611,0.88651,0.95295,0.66226,1.08025,0.75016,1.35977,0.00193268,0.00193268,0.00193268
19,250.764,0.79137,0.57521,1.04174,0.88891,0.88584,0.9558,0.68347,0.99842,0.71981,1.30531,0.00192872,0.00192872,0.00192872
20,260.421,0.77887,0.55465,1.04168,0.88433,0.81181,0.91546,0.64525,1.08538,0.82197,1.33916,0.00192476,0.00192476,0.00192476
21,269.863,0.78725,0.55075,1.04432,0.90125,0.8524,0.94493,0.65403,1.08854,0.7365,1.35699,0.0019208,0.0019208,0.0019208
22,279.726,0.79772,0.57653,1.05687,0.91177,0.82657,0.93587,0.65208,1.07122,0.74274,1.33781,0.00191684,0.00191684,0.00191684
23,289.607,0.79223,0.56109,1.04035,0.89867,0.90406,0.95734,0.70308,0.98053,0.62875,1.2733,0.00191288,0.00191288,0.00191288
24,301.982,0.74834,0.54406,1.01952,0.8918,0.85159,0.93776,0.65558,1.09746,0.92679,1.37741,0.00190892,0.00190892,0.00190892
25,318.658,0.75369,0.5531,1.02915,0.91999,0.84857,0.92652,0.67159,0.97725,0.68422,1.28275,0.00190496,0.00190496,0.00190496
26,328.993,0.74426,0.51924,1.02957,0.88383,0.89299,0.94286,0.69941,0.98169,0.66595,1.25982,0.001901,0.001901,0.001901
27,341.992,0.73184,0.51955,1.01199,0.9235,0.89089,0.9567,0.70961,0.95647,0.57252,1.26431,0.00189704,0.00189704,0.00189704
28,359.043,0.74067,0.5317,1.02233,0.87346,0.89668,0.94919,0.69275,1.00752,0.6941,1.24959,0.00189308,0.00189308,0.00189308
29,375.648,0.72639,0.51479,1.00759,0.92167,0.90037,0.96032,0.69738,1.01162,0.58268,1.30528,0.00188912,0.00188912,0.00188912
30,391.193,0.73583,0.51831,1.01553,0.8975,0.85609,0.93234,0.69308,0.96584,0.60439,1.21971,0.00188516,0.00188516,0.00188516
31,408.208,0.74645,0.51113,1.01787,0.95175,0.84871,0.94647,0.69415,0.98963,0.60242,1.22647,0.0018812,0.0018812,0.0018812
32,425.067,0.72385,0.50536,1.00918,0.93143,0.89299,0.96865,0.73917,0.86251,0.56098,1.17496,0.00187724,0.00187724,0.00187724
33,442.207,0.72026,0.49199,1.00508,0.912,0.91144,0.96924,0.72872,0.93773,0.53049,1.25523,0.00187328,0.00187328,0.00187328
34,453.087,0.70311,0.48979,0.99411,0.92224,0.90037,0.9663,0.72509,0.92375,0.58373,1.22746,0.00186932,0.00186932,0.00186932
35,462.584,0.69164,0.46849,0.99628,0.93494,0.90406,0.975,0.74891,0.86519,0.53964,1.19061,0.00186536,0.00186536,0.00186536
36,478.208,0.69033,0.48132,0.99618,0.9486,0.88523,0.97158,0.74515,0.87873,0.53632,1.15341,0.0018614,0.0018614,0.0018614
37,495.368,0.71135,0.4818,1.00213,0.94897,0.892,0.97266,0.71013,0.94792,0.55082,1.24183,0.00185744,0.00185744,0.00185744
38,512.336,0.71355,0.48912,1.00324,0.91544,0.91884,0.96498,0.73302,0.93408,0.5547,1.23601,0.00185348,0.00185348,0.00185348
39,527.473,0.69578,0.47587,0.99255,0.90408,0.90406,0.96304,0.71074,0.9582,0.62803,1.2452,0.00184952,0.00184952,0.00184952
40,544.359,0.69589,0.47275,0.99762,0.91375,0.93819,0.97515,0.75452,0.85717,0.51306,1.17771,0.00184556,0.00184556,0.00184556
41,561.408,0.68521,0.46627,0.98655,0.96302,0.89299,0.97129,0.74162,0.86055,0.53057,1.19889,0.0018416,0.0018416,0.0018416
